admission_scope,admit_year,faculty_code,faculty_name,issued_male,issued_female,issued_total,waived_male,waived_female,waived_total,remaining_male,remaining_female,remaining_total,waive_rate,yield_rate,source_file
all,2569,,คณะวิศวกรรมศาสตร์,922.0,450.0,1372.0,33.0,18.0,51.0,889.0,432.0,1321.0,0.03717201166180758,0.9628279883381924,data_s002001__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
all,2569,,คณะมนุษยศาสตร์,397.0,784.0,1181.0,11.0,36.0,47.0,386.0,748.0,1134.0,0.03979678238780694,0.9602032176121931,data_s002001__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
all,2569,,คณะวิทยาศาสตร์,422.0,565.0,987.0,25.0,27.0,52.0,397.0,538.0,935.0,0.05268490374873354,0.9473150962512664,data_s002001__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
all,2569,,คณะบริหารธุรกิจ,280.0,592.0,872.0,17.0,26.0,43.0,263.0,566.0,829.0,0.04931192660550459,0.9506880733944955,data_s002001__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
all,2569,,คณะเกษตรศาสตร์,277.0,466.0,743.0,17.0,19.0,36.0,260.0,447.0,707.0,0.04845222072678331,0.9515477792732167,data_s002001__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
all,2569,,คณะศึกษาศาสตร์,218.0,368.0,586.0,6.0,11.0,17.0,212.0,357.0,569.0,0.02901023890784983,0.9709897610921502,data_s002001__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
all,2569,,คณะอุตสาหกรรมเกษตร,152.0,431.0,583.0,9.0,13.0,22.0,143.0,418.0,561.0,0.03773584905660377,0.9622641509433962,data_s002001__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
all,2569,,คณะนิติศาสตร์,151.0,301.0,452.0,3.0,4.0,7.0,148.0,297.0,445.0,0.015486725663716814,0.9845132743362832,data_s002001__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
all,2569,,วิทยาลัยศิลปะ สื่อ และเทคโนโลยี,273.0,207.0,480.0,17.0,22.0,39.0,256.0,185.0,441.0,0.08125,0.91875,data_s002001__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
all,2569,,คณะวิจิตรศิลป์,149.0,300.0,449.0,7.0,11.0,18.0,142.0,289.0,431.0,0.0400890868596882,0.9599109131403119,data_s002001__admityear-69_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__5fb70fa7.json
