faculty,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,stat_id,stat_label,source_file,source_url,fetched_at_utc,error,order,param_year,param_semester,param_semestercurrent,param_admityear,param_fac,param_level,param_sex,param_student_type,param_nat,total_col,total_count,faculty_code,faculty_name,c1_label,c2_label,c3_label,c4_label,c5_label,c6_label,c7_label,c8_label,c9_label,c10_label,major,program_code,program_name,c11,c11_label,level,curriculum,curriculum_type,nationality_id_for_check,nationality_th,nationality_id,iso_alpha3,is_international,c12,c12_label,row_count,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c13_label,c14_label,c15_label,c16_label,c17_label,c18_label,c19_label,c20_label,c21_label,c22_label,c23_label,c24_label,c25_label,c26_label,c27_label,c28_label,c29_label,c30_label,c31_label,c32_label,c33_label,c34_label,c35_label,c36_label,c37_label,c38_label,c39_label,c40_label,c41_label,c42_label,c43_label,c44_label,c45_label,c46_label,c47_label,c48_label,c49_label,c50_label,c51_label,c52_label,c53_label,c54_label,c55_label,c56_label,c57_label
01 : คณะมนุษยศาสตร์,1009.0,2284.0,3293.0,120.0,293.0,413.0,112.0,174.0,286.0,3992.0,s001001,current_active_students,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001001?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:10+00:00,,al,2569,1,1,999,999,999,999,999,999,c10,3992.0,01,คณะมนุษยศาสตร์,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 : คณะศึกษาศาสตร์,636.0,1122.0,1758.0,159.0,278.0,437.0,0.0,0.0,0.0,2195.0,s001001,current_active_students,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001001?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:10+00:00,,al,2569,1,1,999,999,999,999,999,999,c10,2195.0,02,คณะศึกษาศาสตร์,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 : คณะวิจิตรศิลป์,590.0,1123.0,1713.0,13.0,11.0,24.0,0.0,0.0,0.0,1737.0,s001001,current_active_students,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001001?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:10+00:00,,al,2569,1,1,999,999,999,999,999,999,c10,1737.0,03,คณะวิจิตรศิลป์,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 : คณะสังคมศาสตร์,328.0,748.0,1076.0,12.0,16.0,28.0,119.0,174.0,293.0,1397.0,s001001,current_active_students,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001001?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:10+00:00,,al,2569,1,1,999,999,999,999,999,999,c10,1397.0,04,คณะสังคมศาสตร์,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 : คณะวิทยาศาสตร์,1193.0,1723.0,2916.0,33.0,19.0,52.0,131.0,198.0,329.0,3297.0,s001001,current_active_students,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001001?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:10+00:00,,al,2569,1,1,999,999,999,999,999,999,c10,3297.0,05,คณะวิทยาศาสตร์,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 : คณะวิศวกรรมศาสตร์,2839.0,1287.0,4126.0,538.0,271.0,809.0,334.0,178.0,512.0,5447.0,s001001,current_active_students,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001001?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:10+00:00,,al,2569,1,1,999,999,999,999,999,999,c10,5447.0,06,คณะวิศวกรรมศาสตร์,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 : คณะแพทยศาสตร์,835.0,784.0,1619.0,0.0,0.0,0.0,84.0,98.0,182.0,1801.0,s001001,current_active_students,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001001?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:10+00:00,,al,2569,1,1,999,999,999,999,999,999,c10,1801.0,07,คณะแพทยศาสตร์,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 : คณะเกษตรศาสตร์,794.0,1496.0,2290.0,8.0,23.0,31.0,0.0,0.0,0.0,2321.0,s001001,current_active_students,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001001?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:10+00:00,,al,2569,1,1,999,999,999,999,999,999,c10,2321.0,08,คณะเกษตรศาสตร์,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 : คณะทันตแพทยศาสตร์,230.0,451.0,681.0,18.0,41.0,59.0,13.0,18.0,31.0,771.0,s001001,current_active_students,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001001?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:10+00:00,,al,2569,1,1,999,999,999,999,999,999,c10,771.0,09,คณะทันตแพทยศาสตร์,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 : คณะเภสัชศาสตร์,356.0,660.0,1016.0,0.0,0.0,0.0,26.0,34.0,60.0,1076.0,s001001,current_active_students,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001001?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:10+00:00,,al,2569,1,1,999,999,999,999,999,999,c10,1076.0,10,คณะเภสัชศาสตร์,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 : คณะเทคนิคการแพทย์,362.0,970.0,1332.0,0.0,0.0,0.0,35.0,59.0,94.0,1426.0,s001001,current_active_students,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001001?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:10+00:00,,al,2569,1,1,999,999,999,999,999,999,c10,1426.0,11,คณะเทคนิคการแพทย์,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 : คณะพยาบาลศาสตร์,183.0,972.0,1155.0,17.0,82.0,99.0,26.0,180.0,206.0,1460.0,s001001,current_active_students,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001001?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:10+00:00,,al,2569,1,1,999,999,999,999,999,999,c10,1460.0,12,คณะพยาบาลศาสตร์,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 : คณะอุตสาหกรรมเกษตร,469.0,1386.0,1855.0,2.0,5.0,7.0,42.0,54.0,96.0,1958.0,s001001,current_active_students,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001001?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:10+00:00,,al,2569,1,1,999,999,999,999,999,999,c10,1958.0,13,คณะอุตสาหกรรมเกษตร,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 : คณะสัตวแพทยศาสตร์,149.0,356.0,505.0,0.0,0.0,0.0,32.0,33.0,65.0,570.0,s001001,current_active_students,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001001?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:10+00:00,,al,2569,1,1,999,999,999,999,999,999,c10,570.0,14,คณะสัตวแพทยศาสตร์,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 : คณะบริหารธุรกิจ,387.0,1089.0,1476.0,464.0,900.0,1364.0,40.0,69.0,109.0,2949.0,s001001,current_active_students,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json,https://api-statistic.reg.cmu.ac.th/v1/data/s001001?year=2569&semester=1&semestercurrent=1&admityear=999&fac=999&level=999&sex=999&student_type=999&nat=999,2026-07-09T08:53:10+00:00,,al,2569,1,1,999,999,999,999,999,999,c10,2949.0,15,คณะบริหารธุรกิจ,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
