faculty_code,faculty_name,current_students,male_students,female_students,regular_program_students,special_program_students,international_program_students,international_program_share,param_year,param_semester,source_file
06,คณะวิศวกรรมศาสตร์,5447.0,3711.0,1736.0,4126.0,809.0,512.0,0.09399669542867634,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
01,คณะมนุษยศาสตร์,3992.0,1241.0,2751.0,3293.0,413.0,286.0,0.0716432865731463,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
05,คณะวิทยาศาสตร์,3297.0,1357.0,1940.0,2916.0,52.0,329.0,0.09978768577494693,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
15,คณะบริหารธุรกิจ,2949.0,891.0,2058.0,1476.0,1364.0,109.0,0.036961681926076635,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
08,คณะเกษตรศาสตร์,2321.0,802.0,1519.0,2290.0,31.0,0.0,0.0,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
16,คณะเศรษฐศาสตร์,2310.0,935.0,1375.0,1672.0,56.0,582.0,0.2519480519480519,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
02,คณะศึกษาศาสตร์,2195.0,795.0,1400.0,1758.0,437.0,0.0,0.0,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
13,คณะอุตสาหกรรมเกษตร,1958.0,513.0,1445.0,1855.0,7.0,96.0,0.049029622063329927,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
07,คณะแพทยศาสตร์,1801.0,919.0,882.0,1619.0,0.0,182.0,0.10105496946141032,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
03,คณะวิจิตรศิลป์,1737.0,603.0,1134.0,1713.0,24.0,0.0,0.0,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
21,วิทยาลัยศิลปะ สื่อ และเทคโนโลยี,1720.0,1007.0,713.0,1099.0,152.0,469.0,0.27267441860465114,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
20,คณะนิติศาสตร์,1470.0,459.0,1011.0,771.0,699.0,0.0,0.0,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
12,คณะพยาบาลศาสตร์,1460.0,226.0,1234.0,1155.0,99.0,206.0,0.1410958904109589,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
11,คณะเทคนิคการแพทย์,1426.0,397.0,1029.0,1332.0,0.0,94.0,0.06591865357643759,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
04,คณะสังคมศาสตร์,1397.0,459.0,938.0,1076.0,28.0,293.0,0.20973514674302077,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
18,คณะการสื่อสารมวลชน,1369.0,505.0,864.0,1334.0,35.0,0.0,0.0,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
19,คณะรัฐศาสตร์และรัฐประศาสนศาสตร์,1257.0,504.0,753.0,982.0,181.0,94.0,0.07478122513922036,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
10,คณะเภสัชศาสตร์,1076.0,382.0,694.0,1016.0,0.0,60.0,0.055762081784386616,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
17,คณะสถาปัตยกรรมศาสตร์,949.0,370.0,579.0,855.0,0.0,94.0,0.09905163329820864,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
09,คณะทันตแพทยศาสตร์,771.0,261.0,510.0,681.0,59.0,31.0,0.040207522697795074,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
24,วิทยาลัยนานาชาตินวัตกรรมดิจิทัล,574.0,310.0,264.0,0.0,0.0,574.0,1.0,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
14,คณะสัตวแพทยศาสตร์,570.0,181.0,389.0,505.0,0.0,65.0,0.11403508771929824,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
28,วิทยาลัยพหุวิทยาการและสหวิทยาการ,258.0,97.0,161.0,95.0,140.0,23.0,0.08914728682170543,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
22,คณะสาธารณสุขศาสตร์,122.0,42.0,80.0,35.0,72.0,15.0,0.12295081967213115,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
25,สถาบันนโยบายสาธารณะ,77.0,39.0,38.0,0.0,0.0,77.0,1.0,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
27,สถาบันวิจัยวิทยาศาสตร์สุขภาพ,51.0,21.0,30.0,0.0,0.0,51.0,1.0,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
26,สถาบันวิศวกรรมชีวการแพทย์,27.0,15.0,12.0,0.0,0.0,27.0,1.0,2569,1,data_s001001__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
