stat_id,faculty_code,faculty_name,program_code,program_name,level,curriculum_type,current_students,param_year,param_semester,param_admityear,source_file
s001007,15,คณะบริหารธุรกิจ,01,บริหารธุรกิจ,,,208.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,02,คณะศึกษาศาสตร์,27,การบริหารการศึกษา,,,157.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,16,คณะเศรษฐศาสตร์,01,เศรษฐศาสตร์,,,150.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,19,คณะรัฐศาสตร์และรัฐประศาสนศาสตร์,02,รัฐประศาสนศาสตร์,,,139.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,04,คณะสังคมศาสตร์,15,สังคมศาสตร์,,,135.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,09,คณะทันตแพทยศาสตร์,09,ทันตแพทยศาสตร์,,,134.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,15,คณะบริหารธุรกิจ,08,นวัตกรรมธุรกิจสำหรับผู้บริหาร,,,119.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,06,คณะวิศวกรรมศาสตร์,15,วิทยาการข้อมูล,,,108.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,09,คณะทันตแพทยศาสตร์,10,ทันตแพทยศาสตร์,,,102.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,12,คณะพยาบาลศาสตร์,02,พยาบาลศาสตร์,,,91.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,06,คณะวิศวกรรมศาสตร์,01,วิศวกรรมและการบริหารการก่อสร้าง,,,90.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,28,วิทยาลัยพหุวิทยาการและสหวิทยาการ,30,การสอนภาษาจีนร่วมสมัย,,,89.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,01,คณะมนุษยศาสตร์,01,จิตวิทยาการปรึกษา,,,87.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,12,คณะพยาบาลศาสตร์,20,การบริหารทางการพยาบาล,,,82.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,15,คณะบริหารธุรกิจ,04,การตลาด,,,81.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,24,วิทยาลัยนานาชาตินวัตกรรมดิจิทัล,01,นวัตกรรมดิจิทัลและเทคโนโลยีการเงิน,,,81.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,12,คณะพยาบาลศาสตร์,22,การพยาบาลผู้ใหญ่และผู้สูงอายุ,,,80.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,21,วิทยาลัยศิลปะ สื่อ และเทคโนโลยี,03,การจัดการความรู้และนวัตกรรม,,,79.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,21,วิทยาลัยศิลปะ สื่อ และเทคโนโลยี,04,การจัดการเทคโนโลยีดิจิทัล,,,78.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,22,คณะสาธารณสุขศาสตร์,01,สาธารณสุขศาสตร์,,,77.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
s001007,06,คณะวิศวกรรมศาสตร์,02,วิศวกรรมโยธา,,,73.0,2569,1,999,data_s001007__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
