stat_id,faculty_code,faculty_name,program_code,program_name,admit_year,graduation_year,graduation_semester,graduate_count,source_file
s003001,09,คณะทันตแพทยศาสตร์,,,2567.0,2569.0,1,113.0,data_s003001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003001,12,คณะพยาบาลศาสตร์,,,2568.0,2569.0,1,77.0,data_s003001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
s003003,12,คณะพยาบาลศาสตร์,02,ประกาศนียบัตรผู้ช่วยพยาบาล,2568.0,2569.0,1,77.0,data_s003003__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
s003001,09,คณะทันตแพทยศาสตร์,,,2568.0,2569.0,1,63.0,data_s003001__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
s003001,12,คณะพยาบาลศาสตร์,,,2567.0,2569.0,1,62.0,data_s003001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,12,คณะพยาบาลศาสตร์,02,ประกาศนียบัตรผู้ช่วยพยาบาล,2567.0,2569.0,1,62.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,09,คณะทันตแพทยศาสตร์,10,ทันตแพทยศาสตร์,2567.0,2569.0,1,59.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,09,คณะทันตแพทยศาสตร์,01,ประกาศนียบัตรผู้ช่วยทันตแพทย์,2567.0,2569.0,1,53.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,09,คณะทันตแพทยศาสตร์,01,ประกาศนียบัตรผู้ช่วยทันตแพทย์,2568.0,2569.0,1,40.0,data_s003003__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
s003001,06,คณะวิศวกรรมศาสตร์,,,2567.0,2569.0,1,25.0,data_s003001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,09,คณะทันตแพทยศาสตร์,10,ทันตแพทยศาสตร์,2568.0,2569.0,1,23.0,data_s003003__admityear-68_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b5afbfa5.json
s003001,07,คณะแพทยศาสตร์,,,2567.0,2569.0,1,11.0,data_s003001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003001,25,สถาบันนโยบายสาธารณะ,,,2567.0,2569.0,1,11.0,data_s003001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,25,สถาบันนโยบายสาธารณะ,01,นโยบายสาธารณะ,2567.0,2569.0,1,11.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003001,28,วิทยาลัยพหุวิทยาการและสหวิทยาการ,,,2567.0,2569.0,1,10.0,data_s003001__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
s003003,07,คณะแพทยศาสตร์,20,วิทยาศาสตร์การแพทย์คลินิก,2567.0,2569.0,1,9.0,data_s003003__admityear-67_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__c88e5c13.json
