stat_id,faculty_code,faculty_name,program_code,program_name,level,curriculum_type,student_count,param_year,param_semester,param_admityear,source_file
s004005,15,คณะบริหารธุรกิจ,01,บริหารธุรกิจ,ปริญญาโท,,200.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,15,คณะบริหารธุรกิจ,01,บริหารธุรกิจ,ปริญญาโท,,187.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,15,คณะบริหารธุรกิจ,01,บริหารธุรกิจ,ปริญญาโท,,171.0,2568,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s004005,15,คณะบริหารธุรกิจ,01,บริหารธุรกิจ,ปริญญาโท,,168.0,2567,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2567__14bbb763.json
s004005,16,คณะเศรษฐศาสตร์,01,เศรษฐศาสตร์,ปริญญาโท,,160.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,09,คณะทันตแพทยศาสตร์,09,ทันตแพทยศาสตร์,ปริญญาโท,,141.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,16,คณะเศรษฐศาสตร์,01,เศรษฐศาสตร์,ปริญญาโท,,136.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,09,คณะทันตแพทยศาสตร์,09,ทันตแพทยศาสตร์,ปริญญาโท,,128.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,09,คณะทันตแพทยศาสตร์,09,ทันตแพทยศาสตร์,ปริญญาโท,,127.0,2567,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2567__14bbb763.json
s004005,16,คณะเศรษฐศาสตร์,01,เศรษฐศาสตร์,ปริญญาโท,,123.0,2567,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2567__14bbb763.json
s004005,04,คณะสังคมศาสตร์,15,สังคมศาสตร์,ปริญญาโท,,120.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,09,คณะทันตแพทยศาสตร์,09,ทันตแพทยศาสตร์,ปริญญาโท,,117.0,2568,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s004005,04,คณะสังคมศาสตร์,15,สังคมศาสตร์,ปริญญาโท,,117.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,04,คณะสังคมศาสตร์,15,สังคมศาสตร์,ปริญญาโท,,117.0,2568,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s004005,16,คณะเศรษฐศาสตร์,01,เศรษฐศาสตร์,ปริญญาโท,,117.0,2568,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s004005,19,คณะรัฐศาสตร์และรัฐประศาสนศาสตร์,02,รัฐประศาสนศาสตร์,ปริญญาโท,,114.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,02,คณะศึกษาศาสตร์,27,การบริหารการศึกษา,ปริญญาโท,,112.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,02,คณะศึกษาศาสตร์,27,การบริหารการศึกษา,ปริญญาโท,,112.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,04,คณะสังคมศาสตร์,15,สังคมศาสตร์,ปริญญาโท,,110.0,2567,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2567__14bbb763.json
s004005,06,คณะวิศวกรรมศาสตร์,15,วิทยาการข้อมูล,ปริญญาโท,,108.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,02,คณะศึกษาศาสตร์,27,การบริหารการศึกษา,ปริญญาโท,,108.0,2568,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s004005,19,คณะรัฐศาสตร์และรัฐประศาสนศาสตร์,02,รัฐประศาสนศาสตร์,ปริญญาโท,,105.0,2568,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s004005,12,คณะพยาบาลศาสตร์,02,พยาบาลศาสตร์,ปริญญาเอก,,103.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,12,คณะพยาบาลศาสตร์,02,พยาบาลศาสตร์,ปริญญาเอก,,102.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,28,วิทยาลัยพหุวิทยาการและสหวิทยาการ,30,การสอนภาษาจีนร่วมสมัย,ปริญญาโท,,101.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,12,คณะพยาบาลศาสตร์,02,พยาบาลศาสตร์,ปริญญาเอก,,100.0,2567,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2567__14bbb763.json
s004005,15,คณะบริหารธุรกิจ,05,บริหารธุรกิจสำหรับผู้บริหาร,ปริญญาโท,,100.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,19,คณะรัฐศาสตร์และรัฐประศาสนศาสตร์,02,รัฐประศาสนศาสตร์,ปริญญาโท,,99.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,02,คณะศึกษาศาสตร์,27,การบริหารการศึกษา,ปริญญาโท,,99.0,2567,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2567__14bbb763.json
s004005,06,คณะวิศวกรรมศาสตร์,15,วิทยาการข้อมูล,ปริญญาโท,,99.0,2567,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2567__14bbb763.json
s004005,06,คณะวิศวกรรมศาสตร์,15,วิทยาการข้อมูล,ปริญญาโท,,98.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,12,คณะพยาบาลศาสตร์,02,พยาบาลศาสตร์,ปริญญาเอก,,97.0,2568,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
s004005,22,คณะสาธารณสุขศาสตร์,01,สาธารณสุขศาสตร์,ปริญญาโท,,96.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,19,คณะรัฐศาสตร์และรัฐประศาสนศาสตร์,02,รัฐประศาสนศาสตร์,ปริญญาโท,,96.0,2567,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2567__14bbb763.json
s004005,15,คณะบริหารธุรกิจ,04,การตลาด,ปริญญาโท,,95.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,09,คณะทันตแพทยศาสตร์,10,ทันตแพทยศาสตร์,ประกาศนียบัตรบัณฑิต,,88.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,28,วิทยาลัยพหุวิทยาการและสหวิทยาการ,30,การสอนภาษาจีนร่วมสมัย,ปริญญาโท,,88.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
s004005,28,วิทยาลัยพหุวิทยาการและสหวิทยาการ,30,การสอนภาษาจีนร่วมสมัย,ปริญญาโท,,87.0,2567,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2567__14bbb763.json
s004005,15,คณะบริหารธุรกิจ,04,การตลาด,ปริญญาโท,,86.0,2567,2,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2567__14bbb763.json
s004005,01,คณะมนุษยศาสตร์,01,จิตวิทยาการปรึกษา,ปริญญาโท,,85.0,2568,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2568__5ca58e19.json
s004005,21,วิทยาลัยศิลปะ สื่อ และเทคโนโลยี,04,การจัดการเทคโนโลยีดิจิทัล,ปริญญาโท,,85.0,2567,1,999,data_s004005__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2567__cc2eb791.json
