academic_year,semester,faculty_code,faculty_name,student_count,source_file
2568.0,2,06,คณะวิศวกรรมศาสตร์,4468.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,01,คณะมนุษยศาสตร์,3590.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,05,คณะวิทยาศาสตร์,2949.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,15,คณะบริหารธุรกิจ,2719.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,16,คณะเศรษฐศาสตร์,2267.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,02,คณะศึกษาศาสตร์,2041.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,08,คณะเกษตรศาสตร์,1950.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,07,คณะแพทยศาสตร์,1780.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,13,คณะอุตสาหกรรมเกษตร,1741.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,03,คณะวิจิตรศิลป์,1611.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,21,วิทยาลัยศิลปะ สื่อ และเทคโนโลยี,1539.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,11,คณะเทคนิคการแพทย์,1346.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,18,คณะการสื่อสารมวลชน,1341.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,12,คณะพยาบาลศาสตร์,1303.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,20,คณะนิติศาสตร์,1243.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,04,คณะสังคมศาสตร์,1242.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,19,คณะรัฐศาสตร์และรัฐประศาสนศาสตร์,1148.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,10,คณะเภสัชศาสตร์,899.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,17,คณะสถาปัตยกรรมศาสตร์,872.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,09,คณะทันตแพทยศาสตร์,636.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,14,คณะสัตวแพทยศาสตร์,531.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,24,วิทยาลัยนานาชาตินวัตกรรมดิจิทัล,475.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,28,วิทยาลัยพหุวิทยาการและสหวิทยาการ,215.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,22,คณะสาธารณสุขศาสตร์,97.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,25,สถาบันนโยบายสาธารณะ,59.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
2568.0,2,27,สถาบันวิจัยวิทยาศาสตร์สุขภาพ,54.0,data_s004001__admityear-999_fac-999_level-999_nat-999_semester-2_semestercurrent-2_sex-999_student_type-999_year-2568__a1687e88.json
