nationality_id,iso_alpha3,nationality_name,is_international,student_count,param_year,param_semester,source_file
TH,THA,ไทย (Thai),False,39765.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
CN,CHN,จีน (Chinese),True,1246.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
MM,MMR,เมียนมา (Myanmar),True,889.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
ZX,ZX,ไม่ได้สัญชาติไทย (Non-Thai citizen),False,75.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
XX,XX,ไร้สัญชาติ (Stateless),False,72.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
XY,XY,บุคคลที่ไม่มีสถานะทางทะเบียน (The unregistered person),False,61.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
XZ,XZ,บุคคลซึ่งไม่มีสัญชาติไทย (Alien),False,46.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
ID,IDN,อินโดนีเซีย (Indonesian),True,36.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
US,USA,สหรัฐอเมริกา (American),True,32.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
PK,PAK,ปากีสถาน (Pakistani),True,30.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
LA,LAO,ลาว (Lao),True,30.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
VN,VNM,เวียดนาม (Vietnamese),True,25.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
ZZ,ZZ,ไม่ระบุ (N/A),False,21.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
JP,JPN,ญี่ปุ่น (Japanese),True,20.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
PH,PHL,ฟิลิปปินส์ (Filipino),True,20.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
IN,IND,อินเดีย (Indian),True,20.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
NP,NPL,เนปาล (Nepalese),True,15.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
BD,BGD,บังกลาเทศ (Bangladeshi),True,13.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
NG,NGA,ไนจีเรีย (Nigerian),True,11.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
KR,KOR,เกาหลีใต้ (South Korean),True,8.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
SG,SGP,สิงคโปร์ (Singaporean),True,7.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
RU,RUS,รัสเซีย (Russian),True,7.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
LK,LKA,ศรีลังกา (Sri Lankan),True,6.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
HK,HKG,ฮ่องกง (Chinese (Hong Kong)),True,6.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
NE,NER,ไนเจอร์ (Nigerian),True,6.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
KH,KHM,กัมพูชา (Cambodian),True,6.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
FR,FRA,ฝรั่งเศส (French),True,5.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
TW,TWN,ไต้หวัน (Taiwan),True,5.0,2569,1,data_s001012__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
