nationality_id,iso_alpha3,nationality_name,faculty_code,faculty_name,student_count,param_year,param_semester,source_file
CN,CHN,จีน (Chinese),24,นานาชาตินวัตกรรมดิจิทัล,287.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
CN,CHN,จีน (Chinese),21,ศิลปะ สื่อ และเทคโนโลยี,230.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
MM,MMR,เมียนมา (Myanmar),04,สังคมศาสตร์,199.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
MM,MMR,เมียนมา (Myanmar),06,วิศวกรรมศาสตร์,145.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
CN,CHN,จีน (Chinese),01,มนุษยศาสตร์,130.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
CN,CHN,จีน (Chinese),28,พหุวิทยาการและสหวิทยาการ,122.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
CN,CHN,จีน (Chinese),16,เศรษฐศาสตร์,108.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
MM,MMR,เมียนมา (Myanmar),16,เศรษฐศาสตร์,100.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
MM,MMR,เมียนมา (Myanmar),05,วิทยาศาสตร์,70.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
MM,MMR,เมียนมา (Myanmar),21,ศิลปะ สื่อ และเทคโนโลยี,69.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
CN,CHN,จีน (Chinese),12,พยาบาลศาสตร์,65.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
CN,CHN,จีน (Chinese),03,วิจิตรศิลป์,59.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-CN_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__b502ee6e.json
MM,MMR,เมียนมา (Myanmar),01,มนุษยศาสตร์,51.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
MM,MMR,เมียนมา (Myanmar),25,นโยบายสาธารณะ,44.0,2569,1,data_s001016__admityear-999_fac-999_level-999_nat-MM_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__a2d7d096.json
