faculty_code,faculty_name,level,program_name,curriculum_type,current_students,over_program_students,over_program_rate,source_file
11,คณะเทคนิคการแพทย์,ปริญญาโท,วท.ม. (วิทยาศาสตร์สื่อความหมายและความผิดปกติของการสื่อความหมาย),ไทย,3.0,3.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
01,คณะมนุษยศาสตร์,ปริญญาโท,วท.ม. (จิตวิทยาอุตสาหกรรมและองค์การ),ไทย,6.0,6.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
01,คณะมนุษยศาสตร์,ปริญญาโท,ศศ.ม. (ล้านนาศึกษา),ไทย,5.0,5.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
07,คณะแพทยศาสตร์,ปริญญาเอก,วท.ด. (จุลชีววิทยา),ไทย,2.0,2.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
05,คณะวิทยาศาสตร์,ปริญญาเอก,วท.ด. (คณิตศาสตร์),ไทย,8.0,8.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
05,คณะวิทยาศาสตร์,ปริญญาเอก,วท.ด. (เคมี),ไทย,1.0,1.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
05,คณะวิทยาศาสตร์,ปริญญาเอก,วท.ด. (ธรณีวิทยา),ไทย,1.0,1.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
05,คณะวิทยาศาสตร์,ปริญญาเอก,วท.ด. (วิทยาการคอมพิวเตอร์),ไทย,4.0,4.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
03,คณะวิจิตรศิลป์,ปริญญาตรี,ศล.บ. (ศิลปะการดนตรีและการแสดง),ไทย,1.0,1.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
05,คณะวิทยาศาสตร์,ปริญญาเอก,ปร.ด. (ฟิสิกส์ประยุกต์),นานาชาติ,4.0,4.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
06,คณะวิศวกรรมศาสตร์,ปริญญาโท,วศ.ม. (วิศวกรรมเชิงคำนวณขั้นสูงและการออกแบบ),ไทย,6.0,6.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
06,คณะวิศวกรรมศาสตร์,ปริญญาโท,วศ.ม. (วิศวกรรมเหมืองแร่และทรัพยากรธรณี),นานาชาติ,5.0,5.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
05,คณะวิทยาศาสตร์,ปริญญาเอก,ปร.ด. (เคมีอุตสาหกรรม),นานาชาติ,2.0,2.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
21,วิทยาลัยศิลปะ สื่อ และเทคโนโลยี,ปริญญาเอก,วท.ด. (การจัดการความรู้),ไทย,1.0,1.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
03,คณะวิจิตรศิลป์,ปริญญาตรี,ศป.บ. (ศิลปะไทย),ไทย,20.0,20.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
11,คณะเทคนิคการแพทย์,ปริญญาโท,วท.ม. (ความผิดปกติของการสื่อความหมาย),ไทย,3.0,3.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
05,คณะวิทยาศาสตร์,ปริญญาเอก,ปร.ด. (ดาราศาสตร์),ไทย,3.0,3.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
02,คณะศึกษาศาสตร์,ปริญญาโท,ศษ.ม. (การศึกษาพิเศษ),ไทย,4.0,4.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
18,คณะการสื่อสารมวลชน,ปริญญาเอก,ปร.ด. (การสื่อสารบูรณาการ),ไทย,7.0,7.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
05,คณะวิทยาศาสตร์,ปริญญาโท,วท.ม. (สถิติประยุกต์),ไทย,1.0,1.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
06,คณะวิศวกรรมศาสตร์,ปริญญาตรี,วศ.บ. (วิศวกรรมเครื่องกล),นานาชาติ,14.0,14.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
07,คณะแพทยศาสตร์,ปริญญาเอก,วท.ด. (สรีรวิทยา),ไทย,1.0,1.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
10,คณะเภสัชศาสตร์,ปริญญาเอก,วท.ด. (เภสัชศาสตร์),ไทย,5.0,5.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
01,คณะมนุษยศาสตร์,ปริญญาตรี,ศศ.บ. (ประวัติศาสตร์),ไทย,8.0,8.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
11,คณะเทคนิคการแพทย์,ปริญญาโท,วท.ม. (วิทยาศาสตร์รังสีการแพทย์),ไทย,1.0,1.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
01,คณะมนุษยศาสตร์,ปริญญาตรี,ศศ.บ. (ปรัชญา),ไทย,18.0,18.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
15,คณะบริหารธุรกิจ,ปริญญาโท,บธ.ม.,ไทย,21.0,21.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
01,คณะมนุษยศาสตร์,ปริญญาตรี,ศศ.บ. (ภาษาไทย),ไทย,4.0,4.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
01,คณะมนุษยศาสตร์,ปริญญาตรี,ศศ.บ. (ภาษาญี่ปุ่น),ไทย,11.0,11.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
13,คณะอุตสาหกรรมเกษตร,ปริญญาโท,วท.ม. (นวัตกรรมอาหารและอุตสาหกรรมชีวภาพ),ไทย,3.0,3.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
01,คณะมนุษยศาสตร์,ปริญญาตรี,ศศ.บ. (ภาษาจีน),ไทย,6.0,6.0,1.0,data_s001010__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
