faculty_code,faculty_name,program_code,program_name,transfer_in,transfer_out,net_transfer,source_file
,เศรษฐศาสตร์,,เศรษฐศาสตร์,10.0,23.0,-13.0,data_s001017__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
,สังคมศาสตร์,,สังคมวิทยาและมานุษยวิทยา,1.0,15.0,-14.0,data_s001017__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
,วิทยาศาสตร์,,วิทยาการคอมพิวเตอร์,4.0,11.0,-7.0,data_s001017__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
,พยาบาลศาสตร์,,พยาบาลศาสตร์,2.0,9.0,-7.0,data_s001017__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
,วิจิตรศิลป์,,สหศาสตร์ศิลป์,3.0,6.0,-3.0,data_s001017__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
,วิศวกรรมศาสตร์,,วิศวกรรมเครื่องกล,0.0,6.0,-6.0,data_s001017__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
,มนุษยศาสตร์,,ประวัติศาสตร์,7.0,6.0,1.0,data_s001017__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
,วิทยาศาสตร์,,คณิตศาสตร์,0.0,5.0,-5.0,data_s001017__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
,วิทยาศาสตร์,,ฟิสิกส์,1.0,5.0,-4.0,data_s001017__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
,เกษตรศาสตร์,,เกษตรศาสตร์,0.0,5.0,-5.0,data_s001017__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
,วิทยาศาสตร์,,สถิติ,3.0,5.0,-2.0,data_s001017__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
,วิทยาศาสตร์,,เคมีอุตสาหกรรม,0.0,5.0,-5.0,data_s001017__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
,สังคมศาสตร์,,อาเซียนศึกษา,1.0,5.0,-4.0,data_s001017__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
,นิติศาสตร์,,นิติศาสตร์,15.0,5.0,10.0,data_s001017__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
,สังคมศาสตร์,,ไทยศึกษา,0.0,5.0,-5.0,data_s001017__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
,วิทยาศาสตร์,,เคมี,1.0,4.0,-3.0,data_s001017__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
,วิทยาศาสตร์,,ชีววิทยา,1.0,4.0,-3.0,data_s001017__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
,วิศวกรรมศาสตร์,,วิศวกรรมโยธา,1.0,4.0,-3.0,data_s001017__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
,สังคมศาสตร์,,สังคมศาสตร์และการพัฒนาอย่างยั่งยืน,0.0,4.0,-4.0,data_s001017__admityear-999_fac-999_level-999_nat-999_semester-1_semestercurrent-1_sex-999_student_type-999_year-2569__2b9236af.json
